Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?,reader id
Dune,Frank Herbert,,9780143111580,hardcover,to-read,2023/07/04,,,0.0,,,,,,,,,,,,,No,2
The Final Rose,Amy Oliveira,,,paperback,read,2025/01/26,2025/01/26,2025/01/25-2025/01/26,3.0,,,,,,,,3.25,,,,,No,2
Blackout,"Angie Thomas, Dhonielle Clayton, Ashley Woodfolk, Nic Stone, Nicola Yoon, Tiffany D. Jackson",,9780063088092,hardcover,to-read,2022/03/08,,,0.0,,,,,,,,,,,,,No,2
The Entanglement of Rival Wizards,Sara Raasch,,9781250333230,paperback,read,2025/10/03,2025/10/11,2025/10/03-2025/10/11,1.0,,,,,,,,5.0,,,,,No,2
Harry Potter and the Deathly Hallows,J.K. Rowling,Brian Selznick (Illustrator),9781338299205,paperback,read,2011/07/31,,,1.0,,,,,,,,5.0,,,,summer-of-2011,Yes,2
The Queen Con,Meghan Scott Molin,,139781542004183,digital,read,2020/01/01,2020/01/03,2020/01/03,1.0,,,,,,,,4.0,,,,"e-books, 2020-popsugar-challenge",No,2
The Bridge Kingdom,Danielle L. Jensen,,9780593975183,paperback,read,2025/01/26,2025/01/28,2025/01/26-2025/01/28,1.0,,,,,,,,5.0,,,,,No,2
The Huntress,Kate Quinn,Saskia Maarleveld (Narrator),9781982608194,audio,to-read,2022/09/20,,,0.0,,,,,,,,,,,,,No,2
The One,Kiera Cass,,9780062060006,paperback,read,2022/02/24,2022/02/24,2022/02/24,1.0,,,,,,,,5.0,,,,,No,2
The Elite,Kiera Cass,,9780062059963,hardcover,read,2022/02/23,2022/02/23,2022/02/23,1.0,,,,,,,,4.0,,,,,No,2
The History of Rome: The Republic,"Peter D. Campbell, Mike Duncan",,0692681663,,to-read,2020/06/17,,,0.0,,,,,,,,,,,,,No,2
Remarkably Bright Creatures,Shelby Van Pelt,,9780063204157,hardcover,to-read,2023/12/27,,,0.0,,,,,,,,,,,,,No,2
The Storied Life of A.J. Fikry,Gabrielle Zevin,,9781616203214,hardcover,to-read,2021/12/05,,,0.0,,,,,,,,,,,,,No,2
Winging It With You,Chip Pons,,9780593853504,paperback,read,2025/06/26,2025/06/27,2025/06/25-2025/06/27,1.0,,,,,,,,4.0,,,,,No,2
First-Time Caller,B.K. Borison,,9780593641194,paperback,read,2025/06/07,2025/06/10,2025/06/06-2025/06/10,1.0,,,,,,,,3.75,,,,,Yes,2
Going Bicoastal,Dahlia Adler,,9781250871640,hardcover,to-read,2023/06/21,,,0.0,,,,,,,,,,,,,No,2
Klara and the Sun,Kazuo Ishiguro,,9780593318171,hardcover,to-read,2023/07/19,,,0.0,,,,,,,,,,,,,No,2
One of Us Is Lying,Karen M. McManus,,9783060359578,paperback,read,2019/06/02,2020/02/09,2020/02/09,1.0,,,,,,,,4.0,,,,"library, e-books, 2020-popsugar-challenge",No,2
Scrappy Little Nobody,Anna Kendrick,,9781501117206,hardcover,to-read,2018/01/08,,,0.0,,,,,,,,,,,,,No,2
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,,9780525508830,hardcover,to-read,2020/02/21,,,0.0,,,,,,,,,,,,,No,2
Tilly in Technicolor,Mazey Eddings,,9781250847065,hardcover,to-read,2023/08/12,,,0.0,,,,,,,,,,,,,No,2
Circe,Madeline Miller,,9780316556347,hardcover,to-read,2022/08/01,,,0.0,,,,,,,,,,,,,No,2
This Is So Awkward: Modern Puberty Explained,"Cara Natterson, Vanessa Kroll Bennett",,9780593580950,hardcover,to-read,2023/12/30,,,0.0,,,,,,,,,,,,,No,2
His Only Wife,Peace Adzo Medie,,9781643751115,digital,read,2025/02/26,2025/03/07,2025/02/25-2025/03/07,1.0,,,,,,,,3.0,,,,,No,2
Lady Macbeth,Ava Reid,,9781529910476,hardcover,to-read,2024/01/09,,,0.0,,,,,,,,,,,,,No,2
The Nickel Boys,Colson Whitehead,,9780385545440,paperback,to-read,2019/12/28,,,0.0,,,,,,,,,,,,,No,2
House of Flame and Shadow,Sarah J. Maas,,1635574102,hardcover,read,2024/05/05,2024/05/14,2024/05/05-2024/05/14,1.0,"adventurous, challenging, emotional, funny",fast,A mix,It's complicated,Yes,It's complicated,Yes,5.0,,,,,Yes,2
The Dark One,Nikki St. Crowe,,,paperback,read,2023/01/02,2023/01/02,2023/01/02,1.0,,,,,,,,3.0,,,,,No,2
The Marriage Portrait,Maggie O'Farrell,,9780593320624,hardcover,to-read,2023/05/01,,,0.0,,,,,,,,,,,,,No,2
The Last Minute First Lady,Tinia Montford,,B0BH3Q6GR9,digital,to-read,2026/01/25,,,0.0,,,,,,,,,,,,,No,2
No Exit,Taylor Adams,,9780062875679,digital,to-read,2022/01/15,,,0.0,,,,,,,,,,,,,No,2
The Gilded Wolves,Roshani Chokshi,,9781250144546,hardcover,to-read,2022/09/22,,,0.0,,,,,,,,,,,,,No,2
The Book Swap,Tessa Bickers,,9781525836701,hardcover,to-read,2024/06/19,,,0.0,,,,,,,,,,,,,No,2
The Priory of the Orange Tree,Samantha Shannon,,9781408883358,paperback,to-read,2023/01/13,,,0.0,,,,,,,,,,,,,No,2
Six of Crows,Leigh Bardugo,,9781627792127,hardcover,to-read,2023/06/21,,,0.0,,,,,,,,,,,,,No,2
Grave Reservations,Cherie Priest,,9781982168896,hardcover,to-read,2022/10/16,,,0.0,,,,,,,,,,,,,No,2
House of Earth and Blood,Sarah J. Maas,,9781635574043,hardcover,read,2022/03/11,2024/04/27,2024/04/17-2024/04/27,1.0,"adventurous, dark, emotional, funny",fast,A mix,Yes,Yes,Yes,Yes,5.0,,,,,Yes,2
This Is How It Always Is,Laurie Frankel,,9781250088567,paperback,to-read,2025/09/20,,,0.0,,,,,,,,,,,,,No,2
Big Little Lies,Liane Moriarty,,9780399587191,paperback,to-read,2019/12/27,,,0.0,,,,,,,,,,,,,No,2
Chef's Kiss,TJ Alexander,,9781982189082,paperback,to-read,2023/06/04,,,0.0,,,,,,,,,,,,,No,2
Mistletoe and Mishigas,M.A. Wardell,,9798987787526,digital,to-read,2023/10/08,,,0.0,,,,,,,,,,,,,No,2
